task_id,variant,run_id,video,start,end,hoop_config,model,imgsz,confidence,rim_tracker_kind,rim_reseed_every,upward_trigger,history_frames,release_dist_px,approach_dist_px,cooldown_frames,possession_dist_px,occlusion_gap_frames,attempt_to_made_window,enter_zone_radius_factor,horizontal_pad_factor,min_downward_velocity,use_yoloe,use_pose,sam3_cache,strict_consensus
26,full_ensemble,26,1v1-jason.mp4,642.98,664.27,experiments/demo/hoop_configs/1v1-jason.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
27,full_ensemble,27,1v1-jason.mp4,745.16,768.9,experiments/demo/hoop_configs/1v1-jason.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
28,full_ensemble,28,1v1-jason.mp4,866.24,889.56,experiments/demo/hoop_configs/1v1-jason.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
29,full_ensemble,29,1v1-jason.mp4,907.45,933.01,experiments/demo/hoop_configs/1v1-jason.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
30,full_ensemble,30,1v1-nasir.mp4,164.32,193.42,experiments/demo/hoop_configs/1v1-nasir.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
31,full_ensemble,31,1v1-nasir.mp4,538.87,562.79,experiments/demo/hoop_configs/1v1-nasir.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
32,full_ensemble,32,1v1-nasir.mp4,782.08,809.36,experiments/demo/hoop_configs/1v1-nasir.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
33,full_ensemble,33,1v1-nasir.mp4,1120.08,1143.56,experiments/demo/hoop_configs/1v1-nasir.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
34,full_ensemble,34,1v1-nasir.mp4,1379.7,1409.3,experiments/demo/hoop_configs/1v1-nasir.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
35,full_ensemble,35,1v1-nasir.mp4,1475.73,1498.45,experiments/demo/hoop_configs/1v1-nasir.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
36,full_ensemble,36,1v1-nasir.mp4,1586.98,1612.62,experiments/demo/hoop_configs/1v1-nasir.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
37,full_ensemble,37,1v1-nasir.mp4,1685.75,1709.78,experiments/demo/hoop_configs/1v1-nasir.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
38,full_ensemble,38,1v1-nasir.mp4,1734.99,1755.09,experiments/demo/hoop_configs/1v1-nasir.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
39,full_ensemble,39,1v1-nasir.mp4,2234.95,2255.7,experiments/demo/hoop_configs/1v1-nasir.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
40,full_ensemble,40,1v1-roy.mp4,74.54,102.65,experiments/demo/hoop_configs/1v1-roy.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
41,full_ensemble,41,1v1-roy.mp4,104.57,133.83,experiments/demo/hoop_configs/1v1-roy.json,yolov8l.pt,640,0.3,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0,1,1,sam3.1,0
