run_id,video,start,end,hoop_config,model,imgsz,confidence,tracker,possession_dist_px,upward_trigger,made_window,hoop_pad
70,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.35,bytetrack.yaml,200.0,-12.0,45,14
71,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.35,bytetrack.yaml,200.0,-16.0,30,8
72,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.25,bytetrack.yaml,200.0,-8.0,60,20
73,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.25,bytetrack.yaml,200.0,-12.0,45,14
74,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.25,bytetrack.yaml,200.0,-16.0,30,8
75,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.35,bytetrack.yaml,200.0,-8.0,60,20
76,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.35,bytetrack.yaml,200.0,-12.0,45,14
77,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.35,bytetrack.yaml,200.0,-16.0,30,8
78,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.25,bytetrack.yaml,200.0,-8.0,60,20
79,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.25,bytetrack.yaml,200.0,-12.0,45,14
80,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.25,bytetrack.yaml,200.0,-16.0,30,8
81,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.35,bytetrack.yaml,200.0,-8.0,60,20
82,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.35,bytetrack.yaml,200.0,-12.0,45,14
83,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.35,bytetrack.yaml,200.0,-16.0,30,8
84,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.25,bytetrack.yaml,200.0,-8.0,60,20
85,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.25,bytetrack.yaml,200.0,-12.0,45,14
86,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.25,bytetrack.yaml,200.0,-16.0,30,8
87,1v1-mk.mov,452.95,514.69,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.35,bytetrack.yaml,200.0,-8.0,60,20
